Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,262.000000,265.000000,251.000000,263.399994,263.297028,10479062
2021-09-01,263.000000,263.799988,251.600006,256.399994,256.299774,7366479
2021-09-02,260.000000,265.799988,258.000000,262.200012,262.097534,6712199
2021-09-03,263.000000,265.000000,253.000000,254.399994,254.300552,8796732
2021-09-06,257.000000,274.200012,256.000000,274.200012,274.092834,14677264
2021-09-07,275.000000,275.000000,267.600006,270.799988,270.694122,7625854
2021-09-08,273.000000,277.399994,268.000000,269.600006,269.494629,8247340
2021-09-09,268.000000,274.600006,258.000000,262.399994,262.297424,10507607
2021-09-10,263.399994,263.799988,254.399994,261.600006,261.497742,7719570
2021-09-13,261.000000,262.000000,251.199997,256.000000,255.899933,6936110
2021-09-14,258.000000,267.399994,253.199997,263.000000,262.897186,10863300
2021-09-15,261.799988,265.600006,256.200012,258.399994,258.298981,5789987
2021-09-16,261.200012,261.200012,247.000000,249.000000,248.902664,9371393
2021-09-17,246.800003,257.399994,246.000000,257.399994,257.299377,9659397
2021-09-20,255.600006,255.600006,236.000000,243.800003,243.704712,10141200
2021-09-21,238.600006,243.800003,232.600006,243.000000,242.905014,6929366
2021-09-23,246.600006,251.000000,239.399994,242.199997,242.105331,8201127
2021-09-24,243.800003,248.399994,238.600006,243.000000,242.905014,5210474
2021-09-27,243.800003,248.800003,238.399994,242.199997,242.105331,4959885
2021-09-28,244.000000,247.800003,240.199997,242.199997,242.105331,4788353
2021-09-29,239.199997,239.399994,233.399994,238.600006,238.506744,6019057
2021-09-30,238.600006,244.000000,234.800003,243.000000,242.905014,4849787
2021-10-04,246.000000,247.199997,238.199997,241.800003,241.705490,4111193
2021-10-05,239.399994,248.600006,235.199997,246.600006,246.503616,5703772
2021-10-06,247.000000,247.399994,239.000000,239.800003,239.706268,4930908
2021-10-07,243.000000,249.199997,241.399994,248.600006,248.502838,3811181
2021-10-08,250.399994,254.800003,241.800003,246.000000,245.903839,5255180
2021-10-11,251.199997,260.600006,246.800003,258.799988,258.698822,8142445
2021-10-12,254.000000,261.799988,251.199997,253.800003,253.700790,6277469
2021-10-15,262.000000,274.799988,260.600006,273.000000,272.893280,15499198
2021-10-18,275.000000,278.000000,271.000000,276.799988,276.691803,6827930
2021-10-19,281.000000,284.000000,277.600006,281.000000,280.890167,6670575
2021-10-20,282.799988,286.000000,280.600006,285.000000,284.888611,5214338
2021-10-21,288.000000,288.000000,278.799988,282.000000,281.889771,4610573
2021-10-22,287.600006,296.799988,285.200012,295.399994,295.284515,11845856
2021-10-25,292.399994,305.000000,292.399994,302.799988,302.681641,8218533
2021-10-26,319.000000,324.600006,306.399994,311.399994,311.278259,10434506
2021-10-27,306.799988,314.000000,304.000000,308.799988,308.679291,6605199
